text,sentiment
 allah nahi usko bachana tha to us road sy hi kyun nechai phank tha ,0
 apnay bhai ki madad karo qatil ,1
 bohot ghandi choice hai teri qatil ,0
 kis kis ko pakistan buhat pasand hai                       love form india           ,1
 ibrahim ki mama qatil ki bohot achi acting dekai hykass sab bary log apnay molazmo ky saath achy ho jye ,1
 hafeez ki 4 wkts or shandar century ki badolat pakistan ny 256 ka hadaf 4 wickets per hasil ker lia qatil ,1
 khair mubarakapp ko b eid mubarak ,1
 froze khan ny to har jaga dhoom macha di jeo bhai jeo kya darama bnya geooooooo ,2
 inaya or qadsiya same didkhti hai pahile muze laga oh sister ,2
 tumhen kaha bhi tha iss baar eid karni hai qatil ,0
 ghurbat mei koe sharam nahi lekin besharmi pahile usne ki dusriapne ,0
 bohot acha episode tha  yai larki lava me jal rahe the  ,0
 mam apki nose me kachra hai ,2
" main daraz se chezain mangwati rahiti hun or hamaisha mera acha experience hota hai kyunky market se sasti or achi chez apki ghar pe ajate hai khair yai anklet bhot khobsorat thay or quality waise bhi achay thay laken is main se ek nug gaib tha laken woh notice main nahi araha to khair hai 
 ",1
 yai movie kis kis ky pasnad hai qatil dosto qatil like thoko or ek request sabi se plz meri channel ky subscribe karti hai muje bhi apni life me agae bharane moka do apka ek subscribe muje apni manjil tak lekar jayegi i wish muje support karenge plz plz plz plz plz plz dosto ,2
 dekhon to ek shaks b mera nahi bana qatil ,0
 anmool kahzana kaha sy milay ga plz ,1
 kaminooooo baghairatooooo ek bhagooorayyyy or mafroooor ko promote kartay hai siwaey galiooooo ky iske photo ky nechy kuch nahiii ab bhi pti qatil ka mou bandh kra saktay ho hum awaam ka or social media qatil  ka nahiiii jahillllooooo lakh di lanatttttt qatil  doob maro pakistan ky naaaloooo main reh ky ,0
 asa telent kashmir main booot paya jata han ,1
 ya fatima efandi ka double role hai ,2
 beshak hum sab ke nabi payari aaka qatil mohammad saw sachhe hai   allah huakbar allah huakbar allah huakbar   ,2
 bilal kise bi angle s hero nahi lagta or bohot s dosre actors hen jo zyda suit karti hen ,0
 yai shayar log itni baar repeat kyun karti hain ek sentence ko shayad unko yaad nahi aata hoga next line ya phir yaad karti hongi next sentence qatil ,2
 dil bail gaya bhai i love this song   ,1
 asey gandi galian dy ky islam represent kar rahey ho  ,0
 nice song acha lagta hai aye song love from india  ,1
