Review_Text,True_Label,Predicted_Label
 jitni mrzi yh post dikhao yh sab tum logo ka he drama han yh govt han he chor election krao mulk bachon ,positive,negative
 pehli nahi the elm main baatain abapne bataien hain in raaton ki ehmiat to bilkul nafil tahajud zaroor parhen ge ,positive,negative
 main india se hun mujhe yai song itna psnd hai ki main ky btau main bed karti hun jab college ky liye ready hoti hun tab bhi yahi song sunte hun jab khana banate hun tab bhi yahi song sunte hun jab raat me sone jate hun tab bhi yahi song sunte hun mtlb itna accha lagta hai song yai    ,positive,neutral
 jai bhim      ,positive,neutral
 mujhe iske hiroine pasand nahi hai ,negative,neutral
 1 crore darakht lagwai imran ny kpk mei qatil ,positive,negative
 hahah kya pata wo sab se aggy ho ,negative,neutral
 kaam se kaam 2017 me to nahi daikh sktay agar dunia baqi rahe to 2100 me shyed sudhar jayn ,positive,negative
 jab dikhana nahin tha tou itna bara ad lgany ki kya zaroorat thi qatil ,negative,neutral
 bakwas koe haal ni hua jota kamina lanti insaan ,positive,negative
 1 wo jo mushkil tareen halat me saath dy qatil ,positive,negative
 kabhi yai ba shaor thay afsoos kahan thay or kitna gir gay  ,positive,negative
 car ko saaf kernay ke leya bohat kaam ata hai ,positive,negative
 manasik e hajj ka agaz lakhon farzandan e toheed mina puhonch gay khaimon ka bara shahar bas gaya kal arafat rawana hongi qatil ,positive,neutral
 cheapest way to get some attentionbicharay ,negative,neutral
