ROMAN URDU REVIEWS,TRANSLATED IN ENGLISH ,SENTIMENT
 allah nahi usko bachana tha to us road sy hi kyun nechai phank tha ,"If Allah wanted to save him, why did he throw himself off that road?",negative
 apnay bhai ki madad karo qatil ,"Help your brother, my friend.",Positive
 bohot ghandi choice hai teri qatil ,"Your taste is really disgusting, murderer.",very negative
 kis kis ko pakistan buhat pasand hai                       love form india           ,Who all love Pakistan? Love from India.,positive
 ibrahim ki mama qatil ki bohot achi acting dekai hy.kass sab bary log apnay molazmo ky saath achy ho jye ,Ibrahim's aunt did a very good acting of the killer. I wish all the big people would be good with their duties.,positive
 hafeez ki 4 wkts or shandar century ki badolat pakistan ny 256 ka hadaf 4 wickets per hasil ker lia qatil ,"""Thanks to Hafeez's 4 wickets and a splendid century, Pakistan achieved the target of 256 with 4 wickets left, murderer.""",Positive
 khair mubarak...app ko b eid mubarak ,"Oh, Mashallah.",very positive
 froze khan ny to har jaga dhoom macha di jeo bhai jeo kya darama bnya geooooooo ,"""Frozen Khan has stirred up a storm everywhere. Bravo brother, what a drama you've made.""",neutral
 inaya or qadsiya same didkhti hai pahile muze laga oh sister ,"""Inaya and Qadsiya look alike, I thought they were sisters.""",neutral
 tumhen kaha bhi tha iss baar eid karni hai qatil ,"I told you to celebrate Eid this time, killer.",Negative
 ghurbat mei koe sharam nahi lekin besharmi pahile usne ki dusriapne ,"""There's no shame in poverty, but shamelessness, first he did, then the other did.""",negative
 bohot acha episode tha .. yai larki lava me jal rahe the .. ,"""It was a very good episode... this girl was burning in lava...""",very negative
 mam apki nose me kachra hai ,"Ma'am, there is garbage in your nose.",neutral
" main daraz se chezain mangwati rahiti hun or hamaisha mera acha experience hota hai kyunky market se sasti or achi chez apki ghar pe ajate hai. khair yai anklet bhot khobsorat thay or quality waise bhi achay thay laken is main se ek nug gaib tha laken woh notice main nahi araha to khair hai :)
 ","""I keep ordering things from Daraz and always have a good experience because cheap and good quality items come to your house. Well, these anklets were very beautiful and the quality was good too, but one of them was missing a nugget, but it's not noticeable so it's okay :)""",Positive
 yai movie kis kis ky pasnad hai qatil dosto qatil like thoko or ek request sabi se plz meri channel ky subscribe karti hai muje bhi apni life me agae bharane moka do apka ek subscribe muje apni manjil tak lekar jayegi i wish muje support karenge plz plz plz plz plz plz dosto ,"""Who likes this movie? Friends, please like it. And a request to everyone, please subscribe to my channel, it will give me a chance to move forward in life. Your one subscribe will take me to my destination, I hope you will support me. Please, please, please, friends.""",neutral
 dekhon to ek shaks b mera nahi bana qatil ,"""If I see, not a single person is mine, murderer.""",Negative
 anmool kahzana kaha sy milay ga plz ,"Where will I find such a priceless treasure, please?",very positive
 kaminooooo baghairatooooo ek bhagooorayyyy or mafroooor ko promote kartay hai siwaey galiooooo ky iske photo ky nechy kuch nahiii ab bhi... #pti qatil ka mou bandh kra saktay ho hum #awaam ka or social #media qatil  ka nahiiii jahillllooooo lakh di lanatttttt qatil  doob maro pakistan ky naaaloooo main reh ky ,"You bastards, shameless ones, promote a runaway and forgiven person except for abuses, there is nothing under his photos... #PTI can shut up the murderer's mouth but not the public's or social media murderer's. Ignorant ones, millions of curses on the murderers, drown in the filth of Pakistan!",very negative
 asa telent kashmir main booot paya jata han ,"""Talent like this should be appreciated, especially in Kashmir.""",very positive
 ya fatima efandi ka double role hai ,"""This is a double role for Fatima Effendi.""",neutral
 beshak hum sab ke nabi payari aaka qatil mohammad s.a.w sachhe hai   allah huakbar allah huakbar allah huakbar   ,"Truly, our beloved Prophet Muhammad (PBUH) is the greatest. Allah is great.",neutral
 bilal kise bi angle s hero nahi lagta or bohot s dosre actors hen jo zyda suit karti hen. ,"""Bilal doesn't look like a hero from any angle, and there are many other actors who suit more.""",negative
" yai shayar log ...itni baar repeat kyun karti hain ek sentence ko shayad unko yaad nahi aata hoga next line, ya phir yaad karti hongi next sentence qatil ","yai shayar log ...itni baar repeat kyun karti hain ek sentence ko shayad unko yaad nahi aata hoga next line, ya phir yaad karti hongi next sentence - These poets... why do they repeat a sentence so many times? Maybe they don't remember the next line, or perhaps they remember the next sentence.",neutral
 dil bail gaya bhai i love this song   ,"""My heart is sold, brother, I love this song.""",positive
 asey gandi galian dy ky islam represent kar rahey ho  ,"By using such foul language, you're representing Islam.",very negative
 nice song acha lagta hai aye song ...love from india ... ,"""Nice song, I'm missing it a lot... I'm praying to the Lord of the Worlds that whoever loves, may their marriage happen. Love from India.""",positive
 bakya cities main raat 10 baja tak mokamal service bahal ho jaya ge qatil ,"In other cities, complete service will be available until 10 o'clock at night, murderer.",Positive
 boobs to mast han ray ,"Boobs are great, man.",very positive
" 2001 main computer game tomb raider par bane wale film ""lara corft, tomb raider"" main lara corft ka kirdar ada karni ke bad un ki maqboliyat main hairat angez qatil izafa huwa or unhay action heroin ke tor par jana jani laga ","""In 2001, after playing the role of Lara Croft in the computer game Tomb Raider, the film 'Lara Croft: Tomb Raider' increased Lara Croft's popularity surprisingly, and she became known as an action heroine.""",Positive
 north karachi zareena colony me firing 1 shaks janbahaq qatil ,"Firing in North Karachi, one person was killed.",Negative
 sir ny apni indore ke liye kaha tha ki main mumbai me rahkar aya hun main waha tha lekin main ab bhi indori hi hi rewa mp ,"""Sir had said for his Indore that I came to Mumbai while staying there, but I am still an Indori, Rewa, MP.""",neutral
